1.000000000000000000e+00,9.000000000000000000e+01,0.000000000000000000e+00
1.010000000000000009e+00,8.193069884060621177e+01,4.021226390833211595e-02
1.020000000000000018e+00,7.863512303296631956e+01,1.128938871538375660e-01
1.030000000000000027e+00,7.613756788356614891e+01,2.058685407051576710e-01
1.040000000000000036e+00,7.405763139437134157e+01,3.146272052739982339e-01
1.050000000000000044e+00,7.224720983805330832e+01,4.364904463513210597e-01
1.060000000000000053e+00,7.062996175445942981e+01,5.696067093329029163e-01
1.070000000000000062e+00,6.916030633515553916e+01,7.125881104020924672e-01
1.080000000000000071e+00,6.780839343372720407e+01,8.643395184314764945e-01
1.090000000000000080e+00,6.655338274495322537e+01,1.023965686797967622e+00
1.100000000000000089e+00,6.538002267134289980e+01,1.190715631601980240e+00
1.110000000000000098e+00,6.427674047811990476e+01,1.363946899133260393e+00
1.120000000000000107e+00,6.323449942324389639e+01,1.543101358455843730e+00
1.130000000000000115e+00,6.224607664422991604e+01,1.727688102769793232e+00
1.140000000000000124e+00,6.130558647320562926e+01,1.917270957751610272e+00
1.150000000000000133e+00,6.040815420604924668e+01,2.111459097991148504e+00
1.160000000000000142e+00,5.954968597864436219e+01,2.309899831455679120e+00
1.170000000000000151e+00,5.872670220027638521e+01,2.512272939452304232e+00
1.180000000000000160e+00,5.793621428246156313e+01,2.718286159858698703e+00
1.190000000000000169e+00,5.717563162656531972e+01,2.927671528375312082e+00
1.200000000000000178e+00,5.644269023807927965e+01,3.140182375597023068e+00
1.210000000000000187e+00,5.573539710629379584e+01,3.355590833500898373e+00
1.220000000000000195e+00,5.505198628009427608e+01,3.573685743342699173e+00
1.230000000000000204e+00,5.439088375825502908e+01,3.794270883938295036e+00
1.240000000000000213e+00,5.375067911710060287e+01,4.017163458631139328e+00
1.250000000000000222e+00,5.313010235415596583e+01,4.242192793322911548e+00
1.260000000000000231e+00,5.252800481718610115e+01,4.469199208355614239e+00
1.270000000000000240e+00,5.194334336725941625e+01,4.698033034841910371e+00
1.280000000000000249e+00,5.137516712694702647e+01,4.928553751971573860e+00
1.290000000000000258e+00,5.082260631357573288e+01,5.160629226380015311e+00
1.300000000000000266e+00,5.028486276817378098e+01,5.394135038204915134e+00
1.310000000000000275e+00,4.976120187407570228e+01,5.628953881234651568e+00
1.320000000000000284e+00,4.925094562252959918e+01,5.864975026750507858e+00
1.330000000000000293e+00,4.875346663132722114e+01,6.102093842420448944e+00
1.340000000000000302e+00,4.826818296020622512e+01,6.340211359014538139e+00
1.350000000000000311e+00,4.779455359626769706e+01,6.579233878857885465e+00
1.360000000000000320e+00,4.733207450589159748e+01,6.819072620871559742e+00
1.370000000000000329e+00,4.688027516808195827e+01,7.059643397820294375e+00
1.380000000000000338e+00,4.643871551892254956e+01,7.300866322021084542e+00
1.390000000000000346e+00,4.600698324869309630e+01,7.542665536294137496e+00
1.400000000000000355e+00,4.558469140280701026e+01,7.784968967379802152e+00
1.410000000000000364e+00,4.517147624556024965e+01,8.027708099415232113e+00
1.420000000000000373e+00,4.476699535209295533e+01,8.270817765377907804e+00
1.430000000000000382e+00,4.437092589924538544e+01,8.514235954668755824e+00
1.440000000000000391e+00,4.398296313035867655e+01,8.757903635233356354e+00
1.450000000000000400e+00,4.360281897270361640e+01,9.001764588813628620e+00
1.460000000000000409e+00,4.323022078925504985e+01,9.245765258088203709e+00
1.470000000000000417e+00,4.286491024907433456e+01,9.489854604602882659e+00
1.480000000000000426e+00,4.250664230270631805e+01,9.733983976516407566e+00
1.490000000000000435e+00,4.215518425080968257e+01,9.978106985294385112e+00
1.500000000000000444e+00,4.181031489577858196e+01,1.022217939057743585e+01
1.510000000000000453e+00,4.147182376742339471e+01,1.046615899253174575e+01
1.520000000000000462e+00,4.113951041489913507e+01,1.071000553106142839e+01
1.530000000000000471e+00,4.081318375803041221e+01,1.095368059132529304e+01
1.540000000000000480e+00,4.049266149200835940e+01,1.119714751505582662e+01
1.550000000000000488e+00,4.017776954014786384e+01,1.144037131722704004e+01
1.560000000000000497e+00,3.986834155001059088e+01,1.168331860766146768e+01
1.570000000000000506e+00,3.956421842873486128e+01,1.192595751720469188e+01
1.580000000000000515e+00,3.926524791387944902e+01,1.216825762813022926e+01
1.590000000000000524e+00,3.897128417649456367e+01,1.241018990846780845e+01
1.600000000000000533e+00,3.868218745348941923e+01,1.265172664997573193e+01
1.610000000000000542e+00,3.839782370667696654e+01,1.289284140950203117e+01
1.620000000000000551e+00,3.811806430615060037e+01,1.313350895350112246e+01
1.630000000000000560e+00,3.784278573588898098e+01,1.337370520549235664e+01
1.640000000000000568e+00,3.757186931969764743e+01,1.361340719626467433e+01
1.650000000000000577e+00,3.730520096578505473e+01,1.385259301664728682e+01
1.660000000000000586e+00,3.704267092843709719e+01,1.409124177268105171e+01
1.670000000000000595e+00,3.678417358540269078e+01,1.432933354303785833e+01
1.680000000000000604e+00,3.652960722973502072e+01,1.456684933854795894e+01
1.690000000000000613e+00,3.627887387495017890e+01,1.480377106370472440e+01
1.700000000000000622e+00,3.603187907247054511e+01,1.504008148002756506e+01
1.710000000000000631e+00,3.578853174041370266e+01,1.527576417117127328e+01
1.720000000000000639e+00,3.554874400287207692e+01,1.551080350967923493e+01
1.730000000000000648e+00,3.531243103890394508e+01,1.574518462528474494e+01
1.740000000000000657e+00,3.507951094052447161e+01,1.597889337467171877e+01
1.750000000000000666e+00,3.484990457904646632e+01,1.621191631261233468e+01
1.760000000000000675e+00,3.462353547917564356e+01,1.644424066440461019e+01
